Feature,Gain,Cover,Frequency,Horizon,Horizon_number,Component
barangayZAPATERA,5.818548948497371e-4,0.00138128939727281,0.001413760603204524,H+0,0,XGBoost classifier
barangayMABOLO,5.782089928624785e-4,0.004614592640805636,0.001885014137606032,H+0,0,XGBoost classifier
barangaySAN ROQUE (CIUDAD),5.603205869829838e-4,0.0023945254893797613,0.001885014137606032,H+0,0,XGBoost classifier
barangayBONBON,4.4311214117276007e-4,0.004208385539221988,0.0017279296261388628,H+0,0,XGBoost classifier
barangayAGSUNGOT,4.401880019792387e-4,0.004526188975284381,0.0015708451146716933,H+0,0,XGBoost classifier
barangayCOGON RAMOS (POB.),3.961470370652274e-4,0.0042490964239965505,0.0017279296261388628,H+0,0,XGBoost classifier
barangayCENTRAL (POB.),3.8012549756477376e-4,0.0026594648060101083,0.001413760603204524,H+0,0,XGBoost classifier
barangayBUDLA-AN (POB.),3.361218409069748e-4,0.003078245828672963,0.0012566760917373547,H+0,0,XGBoost classifier
barangaySAN JOSE,3.352252094270947e-4,0.0014868576040248218,9.42507068803016e-4,H+0,0,XGBoost classifier
barangaySINSIN,3.141711737818423e-4,0.002217139259566595,9.42507068803016e-4,H+0,0,XGBoost classifier
barangayPIT-OS,3.107120553370494e-4,0.00203968623374143,0.0010995915802701854,H+0,0,XGBoost classifier
barangayBASAK SAN NICOLAS,2.813744195531649e-4,7.483132336285989e-5,7.854225573358467e-4,H+0,0,XGBoost classifier
barangayDAY-AS,2.802035701877477e-4,0.0020352993200174973,9.42507068803016e-4,H+0,0,XGBoost classifier
percent_grassland,2.774566562231169e-4,5.293452285687234e-4,0.0010995915802701854,H+0,0,XGBoost classifier
barangayBASAK PARDO,2.7045039034883164e-4,6.211042964827841e-5,6.283380458686773e-4,H+0,0,XGBoost classifier
barangayBULACAO,2.699395050953737e-4,9.646945791805553e-5,9.42507068803016e-4,H+0,0,XGBoost classifier
barangayBUHISAN,2.5984086049438756e-4,2.362253809723723e-4,6.283380458686773e-4,H+0,0,XGBoost classifier
barangayADLAON,2.2626166800215883e-4,9.00018136307714e-4,7.854225573358467e-4,H+0,0,XGBoost classifier
barangayKALUBIHAN (POB.),2.1057013258144884e-4,0.0014684479166216778,6.283380458686773e-4,H+0,0,XGBoost classifier
barangayPARDO (POB.),1.926050399557137e-4,0.0013224149212995662,7.854225573358467e-4,H+0,0,XGBoost classifier
barangayBINALIW,1.8012807110436463e-4,6.968691984820957e-4,4.71253534401508e-4,H+0,0,XGBoost classifier
barangayMAMBALING,1.7721281849961636e-4,0.0026150142009227417,9.42507068803016e-4,H+0,0,XGBoost classifier
