Feature,Gain,Cover,Frequency,forecast_horizon,forecast_horizon_label,Component
city_area_weighted_rainfall_lag18,0.008074875837828179,0.03229124968255403,0.03625,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_rh_rollmean_lag1_w8,0.007124330960120875,0.02488561184213358,0.03125,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_rh_lag20,0.0070607285509693965,0.0253720036328732,0.030416666666666668,2,H+2,City-week Pure LightGBM regressor
week_cos,0.006874084940424053,0.018510866336953292,0.01875,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_rollmean_lag1_w8,0.006702661454706354,0.02584333019115628,0.024166666666666666,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_lag9,0.005760269024757319,0.0423311510268032,0.037083333333333336,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_lag13,0.00569686275026873,0.019320084537475843,0.02375,2,H+2,City-week Pure LightGBM regressor
target_log_incidence_city_lag2,0.004162212250108989,0.0012611751742186525,0.0016666666666666668,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_rh_lag19,0.004074104911483715,0.02423350249437206,0.02666666666666667,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_rollmean_lag1_w4,0.0038938750780368194,0.020957890523107914,0.022083333333333333,2,H+2,City-week Pure LightGBM regressor
city_pop_density,0.003674080495698021,0.007588572805964111,0.009583333333333333,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_rollmean_lag1_w8,0.003345411687860417,0.026934483456222586,0.02625,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_lag12,0.0023963673526628,0.023458719110893023,0.024166666666666666,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_lag7,0.002062646053708385,0.03844216887695148,0.034583333333333334,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_rainfall_lag19,0.001983423180146078,0.02164658686397817,0.020416666666666666,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_pop_density_lag20,0.0011203262036532104,0.010806076023467328,0.01125,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_u_component_of_wind_10m_lag6,0.0011037669215205,0.01880571445788837,0.016666666666666666,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_temp_c_rollmean_lag1_w4,7.494442389336235e-4,0.008522617218269392,0.010416666666666666,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_pop_density_lag19,7.449142489769525e-4,0.0040460910026127415,0.004583333333333333,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_pop_density_rollmean_lag1_w8,6.632465882868317e-4,0.009531987792857358,0.0075,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_pop_density_rollmean_lag1_w4,1.6590274644843618e-4,0.004887591844113583,0.004166666666666667,2,H+2,City-week Pure LightGBM regressor
city_pop_density_lag19,3.066416097832305e-5,3.766308114134201e-4,4.166666666666667e-4,2,H+2,City-week Pure LightGBM regressor
city_pop_density_lag20,2.4656296231357934e-5,5.918484179353744e-4,8.333333333333334e-4,2,H+2,City-week Pure LightGBM regressor
city_dengue_cases_lag1,0.2930002721226524,0.05503260518991749,0.04708333333333333,3,H+3,City-week Pure LightGBM regressor
city_incidence_10000_lag1,0.2670499601849839,0.031137796175378117,0.02625,3,H+3,City-week Pure LightGBM regressor
target_log_incidence_city_lag1,0.10147116023768556,0.010312339136694028,0.00875,3,H+3,City-week Pure LightGBM regressor
city_estimated_population,0.04326786942092308,0.04913526294542449,0.057916666666666665,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_u_component_of_wind_10m_rollmean_lag1_w8,0.03695884379097936,0.03009331940697642,0.03208333333333333,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_temp_c_rollmean_lag1_w8,0.026593508707436833,0.02603075332619928,0.02625,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_rainfall_rollmean_lag1_w8,0.021533259871073258,0.038186412403855806,0.043333333333333335,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_rollmean_lag1_w8,0.018009605279876145,0.02486025584340965,0.02666666666666667,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_rollmean_lag1_w4,0.016961484301245132,0.0473602932224351,0.04625,3,H+3,City-week Pure LightGBM regressor
week_sin,0.016916002927458117,0.03578774694186173,0.035416666666666666,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_temp_c_lag11,0.013494114245026412,0.047349613500876804,0.04666666666666667,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_temp_c_lag12,0.012964584437270775,0.02441170753796107,0.027916666666666666,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_rollmean_lag1_w8,0.012674933668087404,0.03895535235605337,0.0325,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_rh_rollmean_lag1_w4,0.012486797206106147,0.036398627014996465,0.035,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_rainfall_rollmean_lag1_w4,0.01237296668660319,0.017205031430420546,0.021666666666666667,3,H+3,City-week Pure LightGBM regressor
city_incidence_10000_lag2,0.011386015820240703,0.02210061579274505,0.024583333333333332,3,H+3,City-week Pure LightGBM regressor
week_cos,0.00798814712696003,0.013731985979661538,0.014583333333333334,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_lag8,0.00790424023969715,0.0424967480247855,0.0375,3,H+3,City-week Pure LightGBM regressor
city_dengue_cases_lag2,0.006640625513022234,0.017019204275306135,0.019166666666666665,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_u_component_of_wind_10m_rollmean_lag1_w4,0.0062334763535828825,0.03700523519950788,0.03166666666666667,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_temp_c_rollmean_lag1_w4,0.005745547898587899,0.016698812628557148,0.015416666666666667,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_rollmean_lag1_w4,0.005680600408438973,0.01782659122511358,0.02,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_rh_rollmean_lag1_w8,0.005282821165860578,0.026161045929210532,0.03,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_rh_lag20,0.00523106683022205,0.028845927928967036,0.027083333333333334,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_u_component_of_wind_10m_lag6,0.004748265262919187,0.016316478596770025,0.01875,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_rh_lag19,0.004003685394324629,0.02670143984006049,0.03125,3,H+3,City-week Pure LightGBM regressor
city_pop_density,0.0039888419625821,0.0100261225989316,0.010416666666666666,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_u_component_of_wind_10m_lag5,0.0029336939854978645,0.040044683954999924,0.034166666666666665,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_rainfall_lag20,0.0029131933104445014,0.037043682197117754,0.03833333333333333,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_lag11,0.002521953734199035,0.021077498467459956,0.02375,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_lag6,0.0021941405917916806,0.0346386089021887,0.030416666666666668,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_rainfall_lag17,0.0021063471011298837,0.030037784854873264,0.027083333333333334,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_lag12,0.0018637572451654437,0.025050354887147384,0.0275,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_pop_density_lag20,0.0017188296475853404,0.008533097525081326,0.007916666666666667,3,H+3,City-week Pure LightGBM regressor
target_log_incidence_city_lag2,0.0016517747046386735,0.0028600294333126146,0.002916666666666667,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_pop_density_lag19,9.515735362913655e-4,0.004271888623319813,0.005,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_pop_density_rollmean_lag1_w8,4.3799742646238166e-4,0.005305685670163207,0.005,3,H+3,City-week Pure LightGBM regressor
city_area_weighted_pop_density_rollmean_lag1_w4,1.0352184916390739e-4,0.0026528428350816036,0.002916666666666667,3,H+3,City-week Pure LightGBM regressor
city_pop_density_lag19,1.4519803783779272e-5,0.001296518197177563,8.333333333333334e-4,3,H+3,City-week Pure LightGBM regressor
city_incidence_10000_lag1,0.28211208374925817,0.035780621588135254,0.024285714285714285,4,H+4,City-week Pure LightGBM regressor
city_dengue_cases_lag1,0.2184221038456934,0.036811666154955,0.03142857142857143,4,H+4,City-week Pure LightGBM regressor
city_estimated_population,0.08738131870216978,0.059544729043229834,0.05385714285714286,4,H+4,City-week Pure LightGBM regressor
target_log_incidence_city_lag1,0.07814715091337696,0.00730767807021555,0.005142857142857143,4,H+4,City-week Pure LightGBM regressor
city_area_weighted_u_component_of_wind_10m_rollmean_lag1_w8,0.06953110396584108,0.025755427954263863,0.024857142857142855,4,H+4,City-week Pure LightGBM regressor
week_sin,0.031753152815105934,0.02192194546242403,0.02642857142857143,4,H+4,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_rollmean_lag1_w8,0.02311656610186597,0.03205601391855728,0.03357142857142857,4,H+4,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_rollmean_lag1_w4,0.01734393947670825,0.03965656526065721,0.041,4,H+4,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_rollmean_lag1_w8,0.016920373955924283,0.02511633274758679,0.022714285714285715,4,H+4,City-week Pure LightGBM regressor
week_cos,0.014237927322177268,0.008419290005509067,0.011857142857142858,4,H+4,City-week Pure LightGBM regressor
