"forecast_horizon_label","model_part","grid_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","best_nrounds","validation_RMSE_raw","validation_MAE_raw","validation_R2_raw","validation_Correlation_raw"
"H+5","regressor",4,0.05,3,5,0.85,0.85,1,0.05,500,1.23731584582169,0.70543216493409,-0.140808275017371,0.333302316757641
"H+5","regressor",2,0.03,4,5,0.85,0.85,1,0.05,500,1.25559161712547,0.727977441040333,-0.174757775267993,0.329860322184389
"H+5","regressor",1,0.03,3,3,0.85,0.85,1,0.05,500,1.25972871764406,0.729730743948992,-0.182512044716527,0.322050242652513
"H+6","regressor",3,0.02,4,5,0.9,0.8,1.5,0.1,500,1.22360979753346,0.708042288097367,-0.114034645993039,0.352225697410962
"H+6","regressor",2,0.03,4,5,0.85,0.85,1,0.05,500,1.2273542642065,0.703731459481085,-0.12086337248986,0.339081465475479
"H+6","regressor",5,0.05,4,8,0.8,0.8,2,0.1,500,1.2322683077801,0.705108474913278,-0.129856697298324,0.335271664927891
"H+6","regressor",4,0.05,3,5,0.85,0.85,1,0.05,500,1.23254147854207,0.711236991050117,-0.130357688881466,0.351136475436802
"H+6","regressor",6,0.03,5,8,0.8,0.8,2,0.2,500,1.24201875814287,0.714643929692989,-0.147807652643712,0.334571283608037
"H+6","regressor",1,0.03,3,3,0.85,0.85,1,0.05,500,1.25798666192534,0.720124247642501,-0.177510744834491,0.315168043132676
"H+7","regressor",5,0.05,4,8,0.8,0.8,2,0.1,500,1.24620399356381,0.71535819570832,-0.150726835007774,0.336661396067968
"H+7","regressor",3,0.02,4,5,0.9,0.8,1.5,0.1,500,1.25537765208787,0.715411983809938,-0.167730839678291,0.323337236825106
"H+7","regressor",2,0.03,4,5,0.85,0.85,1,0.05,500,1.25910879547336,0.714580243612395,-0.174682446519201,0.321290746235135
"H+7","regressor",6,0.03,5,8,0.8,0.8,2,0.2,500,1.28570521662268,0.731208617144742,-0.224832709226276,0.310413241203809
"H+7","regressor",1,0.03,3,3,0.85,0.85,1,0.05,500,1.28632449821794,0.730015154312951,-0.226012916042562,0.304819350949644
"H+7","regressor",4,0.05,3,5,0.85,0.85,1,0.05,500,1.28655433117022,0.743511835461478,-0.226451068844055,0.305849138300018
"H+8","regressor",2,0.03,4,5,0.85,0.85,1,0.05,500,1.23429547480307,0.703786974559828,-0.127045009660913,0.354832808013753
"H+8","regressor",3,0.02,4,5,0.9,0.8,1.5,0.1,500,1.23524310065729,0.705925963957573,-0.128776243380735,0.358425133674084
"H+8","regressor",5,0.05,4,8,0.8,0.8,2,0.1,500,1.23784331764054,0.705444774208733,-0.133533448414608,0.357310590270117
"H+8","regressor",6,0.03,5,8,0.8,0.8,2,0.2,500,1.23836885528444,0.706138094621038,-0.134496156614066,0.353374691914736
"H+8","regressor",1,0.03,3,3,0.85,0.85,1,0.05,500,1.24085446811863,0.700150388196281,-0.139054973186776,0.339195877091169
"H+8","regressor",4,0.05,3,5,0.85,0.85,1,0.05,500,1.25228754006735,0.711526330364104,-0.160141882959436,0.335770023231218
"H+9","regressor",6,0.03,5,8,0.8,0.8,2,0.2,500,1.25238817482917,0.714113630312758,-0.158777852027238,0.338493399704209
"H+9","regressor",3,0.02,4,5,0.9,0.8,1.5,0.1,500,1.26166163937642,0.726561798456688,-0.176002016499939,0.337240947863507
"H+9","regressor",5,0.05,4,8,0.8,0.8,2,0.1,500,1.26931724001906,0.725477890047309,-0.190316973918315,0.342777446916844
"H+9","regressor",2,0.03,4,5,0.85,0.85,1,0.05,500,1.27045054786489,0.731560957912042,-0.192443467984992,0.327013865458942
"H+9","regressor",4,0.05,3,5,0.85,0.85,1,0.05,500,1.28532351547665,0.74623202690012,-0.220526394265113,0.315960026141224
"H+9","regressor",1,0.03,3,3,0.85,0.85,1,0.05,500,1.28616076701688,0.727094719219903,-0.222116998368608,0.319836307839663
