"Feature","Gain","Cover","Frequency","forecast_horizon_label","model_part"
"barangay_classificationUrban",0.00780158845186022,0.00198219936497696,0.00360960710814938,"H+1","regressor"
"u_component_of_wind_10m_rollmean_lag1_w8",0.00741299039037197,0.0053572668886154,0.00944051089823685,"H+1","regressor"
"city_env_v_component_of_wind_10m_mean_rollmean_lag1_w4",0.00727444459049235,0.0110226988301412,0.00721921421629876,"H+1","regressor"
"u_component_of_wind_10m_rollmean_lag1_w4",0.00721248748002196,0.00257646468652821,0.00916284881299459,"H+1","regressor"
"city_env_wind_speed_10m_mean_rollmean_lag1_w8",0.0071355128966259,0.0184618848796723,0.0124947938359017,"H+1","regressor"
"rh_lag19",0.00700533423607399,0.00513558155469688,0.012772455921144,"H+1","regressor"
"barangay_area_km2",0.00686982981599208,0.0046990028352162,0.00472025544911842,"H+1","regressor"
"neighbor_env_rainfall_mean_rollmean_lag1_w4",0.00672960312387419,0.00281782013020696,0.0102734971539636,"H+1","regressor"
"rh_lag20",0.00665545443932698,0.00455932153140822,0.00930167985561572,"H+1","regressor"
"city_env_u_component_of_wind_10m_mean_lag8",0.00661761781559216,0.0125493309734831,0.00846869359988893,"H+1","regressor"
"barangaySAMBAG II (POB.)",0.00631528255225611,0.0248377208404873,0.00763570734416215,"H+1","regressor"
"city_env_wind_speed_10m_mean_lag14",0.00603029280111667,0.0108711044730439,0.00860752464251007,"H+1","regressor"
"barangayMABOLO",0.00602225874181774,0.0183652232700716,0.0055532417048452,"H+1","regressor"
"city_env_v_component_of_wind_10m_mean_rollmean_lag1_w8",0.00584795930070889,0.0065141238897826,0.00513674857698181,"H+1","regressor"
"rh_rollmean_lag1_w4",0.00580106754781946,0.00425856971520293,0.00777453838678328,"H+1","regressor"
"u_component_of_wind_10m_lag9",0.00547126268862121,0.00153789374865394,0.00916284881299459,"H+1","regressor"
"neighbor_env_rh_mean_lag19",0.00546617811283298,0.00589285363680032,0.00846869359988893,"H+1","regressor"
"neighbor_env_u_component_of_wind_10m_mean_lag8",0.00528006137256338,0.0019515511504134,0.00527557961960294,"H+1","regressor"
"neighbor_env_v_component_of_wind_10m_mean_lag11",0.00516873870340839,0.00702919605860703,0.00902401777037345,"H+1","regressor"
"temp_c_lag15",0.00507213634064174,0.00828133335838593,0.0112453144523115,"H+1","regressor"
"city_env_u_component_of_wind_10m_mean_lag9",0.00501836011227366,0.00675049696281984,0.00888518672775233,"H+1","regressor"
"percent_perennial_crop",0.00496531482908502,0.0140949576509051,0.00832986255726781,"H+1","regressor"
"temp_c_lag14",0.00479283852580814,0.00617893580966403,0.00971817298347911,"H+1","regressor"
"barangaySAN NICOLAS CENTRAL",0.00472262060811224,0.0241328661928569,0.00680272108843537,"H+1","regressor"
"temp_c_rollmean_lag1_w4",0.00464602558102806,0.010030338475178,0.0130501180063862,"H+1","regressor"
"neighbor_env_rainfall_mean_lag20",0.00462719705288933,0.00494436950949617,0.00930167985561572,"H+1","regressor"
"neighbor_env_rh_mean_lag20",0.00457151881784526,0.00260911550042952,0.00763570734416215,"H+1","regressor"
"barangayCENTRAL (POB.)",0.00450620027499136,0.000991799385871547,0.00708038317367763,"H+1","regressor"
"rainfall_rollmean_lag1_w8",0.00429208509509293,0.00202612987996739,0.00749687630154102,"H+1","regressor"
"v_component_of_wind_10m_lag11",0.00421113678949301,0.00310337752553337,0.00819103151464668,"H+1","regressor"
"percent_brush_shrubs",0.00410694576514035,0.00879657442113041,0.00610856587532972,"H+1","regressor"
"rainfall_rollmean_lag1_w4",0.00393842241057716,0.00181639982281821,0.00832986255726781,"H+1","regressor"
"barangayKALUBIHAN (POB.)",0.00393254316076677,0.00134922717610542,0.00444259336387616,"H+1","regressor"
"percent_mangrove_forest",0.00381938467842987,0.0153302176225304,0.00527557961960294,"H+1","regressor"
"city_env_v_component_of_wind_10m_mean_lag9",0.00376718089763953,0.00668281272435936,0.00652505900319311,"H+1","regressor"
"city_env_rainfall_mean_rollmean_lag1_w4",0.00376035486960779,0.00390502045320452,0.00680272108843537,"H+1","regressor"
"neighbor_env_v_component_of_wind_10m_mean_lag9",0.00369692636226606,0.00169932617659422,0.00819103151464668,"H+1","regressor"
"neighbor_env_u_component_of_wind_10m_mean_rollmean_lag1_w4",0.00345895969472507,0.00917813594615445,0.00624739691795085,"H+1","regressor"
"barangaySIRAO",0.00333000561381387,0.00540795316040788,0.00610856587532972,"H+1","regressor"
"percent_inland_water",0.00307675458681253,0.00359649348475116,0.0041649312786339,"H+1","regressor"
"v_component_of_wind_10m_lag9",0.00305075005014671,0.00132270479873168,0.00846869359988893,"H+1","regressor"
"rainfall_lag20",0.00301951904419202,0.0038174429237323,0.00944051089823685,"H+1","regressor"
"barangayLABANGON",0.00278577326817858,0.0140051241812151,0.0041649312786339,"H+1","regressor"
"neighbor_env_u_component_of_wind_10m_mean_lag9",0.00275442325477175,0.00186008302885429,0.00610856587532972,"H+1","regressor"
"wind_speed_10m_lag15",0.00263719598510649,0.00144512876306587,0.00777453838678328,"H+1","regressor"
"temp_c_rollmean_lag1_w8",0.00256236899329137,0.00521687381757291,0.00805220047202554,"H+1","regressor"
"neighbor_env_wind_speed_10m_mean_rollmean_lag1_w4",0.00253304826819944,0.000819551715122282,0.00666389004581424,"H+1","regressor"
"barangayPARI-AN",0.00246727904623682,0.000519674528145825,0.00402610023601277,"H+1","regressor"
"percent_annual_crop",0.00227979829747726,0.00141381703667354,0.00360960710814938,"H+1","regressor"
"neighbor_env_temp_c_mean_rollmean_lag1_w4",0.00222657133427292,0.00168100118626867,0.00652505900319311,"H+1","regressor"
